filename,loc,site,elev,elevation,species,order,temp_trt,stress,chamber_num,barcode,dryweight,control_corr_mr
MRT10COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,7.5,ns,2,5894,0.03498,0.009179085
MRT10COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,7.5,ns,3,5895,0.01768,0.002401292
MRT10COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,7.5,ns,4,5896,0.00317,-0.002219145
MRT11COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,10,ns,1,5898,0.01447,0.00141958
MRT11COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,10,ns,2,5899,0.00525,0.001178041
MRT11COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,10,ns,4,5897,0.01053,0.00183868
MRT12COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,10,ns,1,5900,0.02076,0.002891354
MRT12COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,10,ns,2,5901,0.03514,-0.002402572
MRT12COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,10,ns,3,5902,0.00553,-0.001774795
MRT13COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,12.5,ns,1,5904,0.06613,0.013934259
MRT13COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,12.5,ns,2,5905,0.01265,0.010793026
MRT13COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,12.5,ns,4,5903,0.00623,0.007256041
MRT14COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,15,ns,1,5907,0.00491,0.003416103
MRT14COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,15,ns,2,5908,0.0099,0.005625225
MRT14COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,15,ns,4,5906,0.00594,0.004690587
MRT15COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,15,ns,1,5911,0.00402,0.014294767
MRT15COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,15,ns,3,5909,0.00408,0.016667175
MRT15COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,15,ns,4,5910,0.0023,0.015694272
MRT16COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,12.5,ns,2,5912,0.00636,0.00051437
MRT16COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,12.5,ns,3,5913,0.00751,0.000392422
MRT16COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,12.5,ns,4,5914,0.00688,0.00518761
MRT17COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,20,ns,2,5915,0.00458,0.00121505
MRT17COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,20,ns,3,5916,0.00349,-0.000578869
MRT17COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,20,ns,4,5917,0.0029,-0.002170479
MRT18COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,22.5,,1,5919,0.0281,0.034985347
MRT18COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,22.5,,2,5920,0.02313,0.016978497
MRT18COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,22.5,,4,5918,0.06285,0.018694497
MRT19COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,22.5,,1,5923,0.01103,0.003750379
MRT19COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,22.5,,3,5921,0.01628,0.005469724
MRT19COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,22.5,,4,5922,0.01646,0.010628267
MRT1COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,5,ns,1,5868,0.01047,0.002761272
MRT1COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,5,ns,2,5869,0.03655,0.005230405
MRT1COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,5,ns,3,5870,0.01314,0.000271865
MRT2COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,5,ns,1,5871,0.02604,0.003997497
MRT2COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,5,ns,2,5872,0.02029,0.002990817
MRT2COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,5,ns,3,5873,0.04125,0.002178256
MRT3COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,17.5,ns,1,5874,0.01087,0.002180976
MRT3COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,17.5,ns,3,5875,0.02921,0.002628796
MRT3COP2014.xls,Colorado,7-mile,low,2212,Hesperoperla,P,17.5,ns,4,5876,0.01363,0.014325316
MRT48COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,5,ns,1,34052,0.04215,0.013687226
MRT48COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,5,ns,3,34050,0.04396,0.003374715
MRT48COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,5,ns,4,34051,0.04514,0.002786526
MRT49COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,5,ns,1,34054,0.03619,0.000308237
MRT49COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,5,ns,2,34055,0.04132,0.000916792
